id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
bJ79X00B,3012393,"""       (1979 XB)""","""1979 XB""",,,Y,Y,18.6,,,,,,,,,,,,,,,,,,,"""JPL 12""",2444221.5,44221,19791214,J2000,0.708457222,2.228139447,0.649597964,24.73433191,86.05548731,75.57980384,346.3189367,3.806680929,0.296340168,2444267.667,19800129.17,1214.820125,3.325996235,0.023863,9.28676371,2.08456,3.174,0.059531,0.41502,0.011648,1.6142,0.12115,0.72717,4.3382,0.70904,0.082795,1.7406,339.41,APO,"""Otto Matic""",4,12/11/1979,12/15/1979,18,,,9,0.43528,,,,,
bJ82Y00A,3005804,"""       (1982 YA)""","""1982 YA""",,,Y,N,18.1,,,,,,,,,,,,,,,,,,,"""JPL 18""",2459000.5,59000,20200531,J2000,0.69107306,3.648792355,1.127210259,35.1194598,268.9686222,144.3864557,141.915462,6.170374452,0.141410074,2457996.926,20170831.43,2545.787507,6.969986329,0.216166,84.12532222,0.577042,2.416,1.76E-07,8.44E-08,6.59E-07,6.27E-05,7.41E-05,0.00012181,3.60E-05,1.43E-07,4.90E-09,0.00022407,8.83E-05,AMO,"""Otto Matic""",12766,12/21/1982,12/3/2017,72,,,0,0.5145,,,,,
bJ83L00C,3005806,"""       (1983 LC)""","""1983 LC""",,,Y,Y,19.3,,,,,,,,,,,,,,,,,,,"""JPL 19""",2459000.5,59000,20200531,J2000,0.715027316,2.60103438,0.741223749,1.562866915,159.7032964,184.8525337,255.0696526,4.460845012,0.234955132,2459447.097,20210820.6,1532.207437,4.194955337,0.0249893,9.725085881,0.972076,2.989,1.06E-07,2.77E-08,2.75E-07,1.12E-05,0.0015969,0.0015917,2.14E-05,4.75E-08,3.75E-09,9.76E-05,2.45E-05,APO,"""Otto Matic""",7852,6/13/1983,12/11/2004,67,,,0,0.44587,,,,,
bJ86N00A,3092100,"""       (1986 NA)""","""1986 NA""",,,Y,N,19.8,,,,,,,,,,,,,,,,,,,"""JPL 12""",2459000.5,59000,20200531,J2000,0.402050298,1.932941555,1.155801826,9.454580174,243.1460826,37.58888338,223.1793005,2.710081283,0.366754955,2459373.558,20210608.06,981.5818306,2.687424588,0.165977,64.59326909,2.46895,3.793,1.76E-06,8.34E-08,3.37E-06,0.00010267,0.00036354,0.00040584,0.00038859,1.17E-07,2.37E-08,0.0010833,6.35E-05,AMO,"""Otto Matic""",10029,7/8/1986,12/22/2013,30,,,1,0.55941,,,,,
bJ88N00E,3092101,"""       (1988 NE)""","""1988 NE""",,,Y,N,19.1,,,,,,,,,,,,,,,,,,,"""JPL 37""",2459000.5,59000,20200531,J2000,0.442341116,2.248372276,1.253824775,9.637166808,251.5183418,3.602650686,178.6442376,3.242919777,0.292349087,2458389.435,20180927.94,1231.404565,3.371401957,0.239429,93.17858393,1.8284,3.477,1.15E-06,2.04E-08,2.58E-06,1.31E-05,0.00015486,0.00026351,4.58E-05,2.94E-08,3.97E-09,0.00015046,1.67E-05,AMO,"""Otto Matic""",9961,7/9/1988,10/17/2015,98,,,0,0.48615,,,,,
